"","bl","lec","nest","soc","ori"
"Agapostemonsericeus",2.39789527279837,"1","1","1",0
"Agapostemonsplendens",2.4423470353692,"1","1","1",0
"Agapostemontexanus",2.42036812865043,"1","1","1",0
"Agapostemonvirescens",2.4423470353692,"1","1","1",0
"Andrenaalgida",2.2512917986065,"1","1","2",0
"Andrenaaliciae",2.59376105470008,"2","1","2",0
"Andrenaalleghaniensis",2.32727770558442,"1","1","2",0
"Andrenaandrenoides",2.32727770558442,"2","1","2",0
"Andrenaarabis",2.28848616861454,"2","1","2",0
"Andrenaasteris",2.52572864430826,"2","1","2",0
"Andrenabanksi",2.39789527279837,"1","1","2",0
"Andrenabarbara",2.47317139356958,"1","1","2",0
"Andrenabarbilabris",2.37490575457367,"1","1","2",0
"Andrenabisalicis",2.2512917986065,"2","1","2",0
"Andrenabradleyi",2.32727770558442,"2","1","2",0
"Andrenabrevipalpis",2.2512917986065,"1","1","2",0
"Andrenacanadensis",2.07693841146172,"2","1","2",0
"Andrenacarlini",2.58399755243223,"1","1","2",0
"Andrenacarolina",2.56725439113675,"2","1","2",0
"Andrenaceanothi",2.35137525716348,"1","1","2",0
"Andrenachromotricha",2.18605127673809,"2","1","2",0
"Andrenacommoda",2.46385324059017,"1","1","2",0
"Andrenaconfederata",2.54553127160444,"1","1","2",0
"Andrenacrataegi",2.484906649788,"1","1","2",0
"Andrenacressonii",2.20717490818939,"1","1","2",0
"Andrenadistans",2.22462355152433,"2","1","2",0
"Andrenadunningi",2.46385324059017,"1","1","2",0
"Andrenaerigeniae",2.16905370036952,"2","1","2",0
"Andrenaerythrogaster",2.45358796653057,"2","1","2",0
"Andrenaerythronii",2.484906649788,"2","1","2",0
"Andrenafenningeri",2.30258509299405,"1","1","2",0
"Andrenaforbesii",2.31550131826059,"1","1","2",0
"Andrenafragilis",2.3823200610129,"2","1","2",0
"Andrenagardineri",2.35137525716348,"2","1","2",0
"Andrenageranii",2.27726728500976,"2","1","2",0
"Andrenahelianthi",2.59376105470008,"2","1","2",0
"Andrenaheraclei",2.35137525716348,"1","1","2",0
"Andrenahilaris",2.60268968544438,"1","1","2",0
"Andrenahippotes",2.30258509299405,"1","1","2",0
"Andrenahirticincta",2.45787797740008,"2","1","2",0
"Andrenailicis",2.27726728500976,"1","1","2",0
"Andrenaillini",2.62103882411258,"1","1","2",0
"Andrenaillinoiensis",2.09801792725277,"2","1","2",0
"Andrenaimitatrix",2.3767644911683,"1","1","2",0
"Andrenaintegra",2.22462355152433,"2","1","2",0
"Andrenakrigiana",2.12584791449399,"2","1","2",0
"Andrenamacoupinensis",2.35137525716348,"2","1","2",0
"Andrenamacra",2.4423470353692,"1","1","2",0
"Andrenamandibularis",2.30258509299405,"1","1","2",0
"Andrenamariae",2.30258509299405,"2","1","2",0
"Andrenamendica",2.37490575457367,"1","1","2",0
"Andrenamilwaukeensis",2.4423470353692,"1","1","2",0
"Andrenamiranda",2.32727770558442,"1","1","2",0
"Andrenamiserabilis",2.11021320034659,"1","1","2",0
"Andrenamorrisonella",2.30258509299405,"1","1","2",0
"Andrenanasonii",2.14006616349627,"1","1","2",0
"Andrenaneonana",1.93585981320181,"1","1","2",0
"Andrenanigrae",2.11021320034659,"2","1","2",0
"Andrenanigrihirta",2.30258509299405,"1","1","2",0
"Andrenanivalis",2.54553127160444,"1","1","2",0
"Andrenanubecula",2.34851402488245,"2","1","2",0
"Andrenanuda",2.2512917986065,"1","1","2",0
"Andrenaperplexa",2.60268968544438,"1","1","2",0
"Andrenapersimulata",2.21156569460688,"2","1","2",0
"Andrenapersonata",1.93152141160321,"1","1","2",0
"Andrenaphaceliae",2.14006616349627,"2","1","2",0
"Andrenaplacata",2.32727770558442,"2","1","2",0
"Andrenaplatyparia",2.23857976301813,"2","1","2",0
"Andrenapolemonii",2.04769284336526,"2","1","2",0
