,bl,lec,nest,soc,ori
Agapostemonsericeus,2.397895273,1,1,1,0
Agapostemonsplendens,2.442347035,1,1,1,0
Agapostemontexanus,2.420368129,1,1,1,0
Agapostemonvirescens,2.442347035,1,1,1,0
Andrenaalgida,2.251291799,1,1,2,0
Andrenaaliciae,2.593761055,2,1,2,0
Andrenaalleghaniensis,2.327277706,1,1,2,0
Andrenaandrenoides,2.327277706,2,1,2,0
Andrenaarabis,2.288486169,2,1,2,0
Andrenaasteris,2.525728644,2,1,2,0
Andrenabarbara,2.473171394,1,1,2,0
Andrenabarbilabris,2.374905755,1,1,2,0
Andrenabisalicis,2.251291799,2,1,2,0
Andrenabradleyi,2.327277706,2,1,2,0
Andrenabrevipalpis,2.251291799,1,1,2,0
Andrenacanadensis,2.076938411,2,1,2,0
Andrenacarlini,2.583997552,1,1,2,0
Andrenacarolina,2.567254391,2,1,2,0
Andrenaceanothi,2.351375257,1,1,2,0
Andrenachromotricha,2.186051277,2,1,2,0
Andrenacommoda,2.463853241,1,1,2,0
Andrenaconfederata,2.545531272,1,1,2,0
Andrenacrataegi,2.48490665,1,1,2,0
Andrenacressonii,2.207174908,1,1,2,0
Andrenadistans,2.224623552,2,1,2,0
Andrenadunningi,2.463853241,1,1,2,0
Andrenaerigeniae,2.1690537,2,1,2,0
Andrenaerythrogaster,2.453587967,2,1,2,0
Andrenaerythronii,2.48490665,2,1,2,0
Andrenaforbesii,2.315501318,1,1,2,0
Andrenafragilis,2.382320061,2,1,2,0
Andrenagardineri,2.351375257,2,1,2,0
Andrenageranii,2.277267285,2,1,2,0
Andrenahelianthi,2.593761055,2,1,2,0
Andrenaheraclei,2.351375257,1,1,2,0
Andrenahilaris,2.602689685,1,1,2,0
Andrenahippotes,2.302585093,1,1,2,0
Andrenahirticincta,2.457877977,2,1,2,0
Andrenaillinoiensis,2.098017927,2,1,2,0
Andrenaimitatrix,2.376764491,1,1,2,0
Andrenaintegra,2.224623552,2,1,2,0
Andrenakrigiana,2.125847914,2,1,2,0
Andrenamandibularis,2.302585093,1,1,2,0
Andrenamariae,2.302585093,2,1,2,0
Andrenamilwaukeensis,2.442347035,1,1,2,0
Andrenamiranda,2.327277706,1,1,2,0
Andrenamiserabilis,2.1102132,1,1,2,0
Andrenamorrisonella,2.302585093,1,1,2,0
Andrenanasonii,2.140066163,1,1,2,0
Andrenaneonana,1.935859813,1,1,2,0
Andrenanigrae,2.1102132,2,1,2,0
Andrenanigrihirta,2.302585093,1,1,2,0
Andrenanivalis,2.545531272,1,1,2,0
Andrenanubecula,2.348514025,2,1,2,0
Andrenanuda,2.251291799,1,1,2,0
Andrenaperplexa,2.602689685,1,1,2,0
Andrenapersimulata,2.211565695,2,1,2,0
