lower,higher,freq,webID,hood,site
Chichory,Agapostemon.sericeus,1,LATE,CE,t6
Red.Clover,Agapostemon.sericeus,1,LATE,FA,t6
Birdsfoot.Trefoil,Agapostemon.sericeus,1,LATE,GL,t4
Horseweed,Agapostemon.sericeus,2,LATE,GL,t4
Chichory,Agapostemon.sericeus,3,LATE,HO,t2
White.Snakeroot,Agapostemon.sericeus,1,LATE,SV,t1
Chichory,Agapostemon.spp.,1,LATE,HO,t2
Chichory,Agapostemon.texanus,1,EARLY,TR,t1
Chichory,Agapostemon.texanus,1,LATE,CE,t2
Chichory,Agapostemon.texanus,3,LATE,CE,t6
Chichory,Agapostemon.texanus,1,LATE,CE,t8
Chichory,Agapostemon.texanus,1,LATE,FA,t6
Horseweed,Agapostemon.texanus,1,LATE,GL,t8
Chichory,Agapostemon.texanus,1,LATE,HO,t1
Chichory,Agapostemon.texanus,1,LATE,TR,t1
Chichory,Agapostemon.virescens,1,EARLY,BU,t2
Purple.Thistle,Agapostemon.virescens,4,EARLY,DS,t4
Sowthistle,Agapostemon.virescens,1,EARLY,DS,t4
Chichory,Agapostemon.virescens,1,EARLY,FA,t6
Chichory,Agapostemon.virescens,6,EARLY,SV,t1
Chichory,Agapostemon.virescens,2,EARLY,TR,t1
Narrow.Leaf.Plantain,Agapostemon.virescens,1,EARLY,TR,t1
Field.Bindweed,Agapostemon.virescens,1,EARLY,TR,t2
Chichory,Agapostemon.virescens,1,EARLY,TR,t8
Chichory,Agapostemon.virescens,1,LATE,BU,t6
Chichory,Agapostemon.virescens,4,LATE,BU,t8
Chichory,Agapostemon.virescens,6,LATE,CE,t2
Chichory,Agapostemon.virescens,9,LATE,CE,t4
Mallow,Agapostemon.virescens,1,LATE,CE,t4
Prickly.lettuce,Agapostemon.virescens,3,LATE,CE,t4
Sowthistle,Agapostemon.virescens,1,LATE,CE,t4
Chichory,Agapostemon.virescens,4,LATE,CE,t6
Chichory,Agapostemon.virescens,1,LATE,DS,t4
Purple.Thistle,Agapostemon.virescens,3,LATE,DS,t4
Chichory,Agapostemon.virescens,2,LATE,FA,t2
Chichory,Agapostemon.virescens,1,LATE,GL,t1
Chichory,Agapostemon.virescens,5,LATE,HO,t1
Chichory,Agapostemon.virescens,3,LATE,HO,t2
Chichory,Agapostemon.virescens,1,LATE,SV,t8
Chichory,Agapostemon.virescens,7,LATE,TR,t1
Chichory,Agapostemon.virescens,1,LATE,TR,t2
Field.Bindweed,Agapostemon.virescens,3,LATE,TR,t2
Red.Clover,Agapostemon.virescens,1,LATE,TR,t8
Unknown.Aster,Andrena.asteris,1,LATE,BU,t6
Red.Clover,Andrena.wilkella,1,EARLY,BU,t1
Sweet.Clover.white,Andrena.wilkella,1,EARLY,BU,t2
Red.Clover,Andrena.wilkella,1,EARLY,CE,t4
Queen.Annes.Lace,Andrena.wilkella,1,EARLY,SV,t4
Red.Clover,Andrena.wilkella,1,EARLY,TR,t1
Red.Clover,Andrena.wilkella,1,EARLY,TR,t8
Chichory,Anthidium.manicatum,2,LATE,CE,t6
Chichory,Anthidium.oblongatum,1,EARLY,TR,t1
Birdsfoot.Trefoil,Anthidium.oblongatum,1,LATE,BU,t2
Birdsfoot.Trefoil,Anthidium.oblongatum,1,LATE,BU,t4
Birdsfoot.Trefoil,Anthidium.oblongatum,9,LATE,FA,t1
Birdsfoot.Trefoil,Anthidium.oblongatum,5,LATE,FA,t4
Birdsfoot.Trefoil,Anthidium.oblongatum,3,LATE,FA,t8
Birdsfoot.Trefoil,Anthidium.oblongatum,2,LATE,GL,t4
Birdsfoot.Trefoil,Anthidium.oblongatum,3,LATE,GL,t6
Birdsfoot.Trefoil,Anthidium.oblongatum,7,LATE,SV,t6
Healal,Anthophora.terminalis,2,LATE,GL,t1
Red.Clover,Apis.mellifera,5,EARLY,BU,t1
Crown.Vetch,Apis.mellifera,1,EARLY,BU,t2
White.Clover,Apis.mellifera,1,EARLY,BU,t2
Chichory,Apis.mellifera,2,LATE,BU,t1
Narrow.Leaf.Plantain,Apis.mellifera,1,LATE,BU,t1
Red.Clover,Apis.mellifera,1,LATE,BU,t1
Unknown.Aster,Apis.mellifera,5,LATE,BU,t1
Queen.Annes.Lace,Apis.mellifera,1,LATE,BU,t2
Red.Clover,Apis.mellifera,1,LATE,BU,t2
Red.Clover,Apis.mellifera,3,LATE,BU,t4
Unknown.Aster,Apis.mellifera,1,LATE,BU,t4
Goldenrod,Apis.mellifera,3,LATE,BU,t6
Narrow.Leaf.Plantain,Apis.mellifera,1,LATE,BU,t6
Unknown.Aster,Apis.mellifera,9,LATE,BU,t6
Red.Clover,Apis.mellifera,1,LATE,CE,t4
Red.Clover,Apis.mellifera,1,LATE,DS,t1
Chichory,Apis.mellifera,1,LATE,DS,t4
Frost.Aster,Apis.mellifera,1,LATE,DS,t4
Narrow.Leaf.Plantain,Apis.mellifera,1,LATE,DS,t4
Purple.Thistle,Apis.mellifera,1,LATE,DS,t4
White.Clover,Apis.mellifera,3,LATE,DS,t4
Queen.Annes.Lace,Apis.mellifera,1,LATE,DS,t6
Narrow.Leaf.Plantain,Apis.mellifera,4,LATE,DS,t8
Red.Clover,Apis.mellifera,2,LATE,FA,t1
Unknown.Aster,Apis.mellifera,1,LATE,FA,t2
Red.Clover,Apis.mellifera,1,LATE,FA,t4
Red.Clover,Apis.mellifera,3,LATE,FA,t6
Red.Clover,Apis.mellifera,3,LATE,FA,t8
Freak.Clover,Apis.mellifera,1,LATE,GL,t6
Red.Clover,Apis.mellifera,1,LATE,GL,t6
Chichory,Apis.mellifera,1,LATE,HO,t1
Red.Clover,Apis.mellifera,3,LATE,HO,t1
Chichory,Apis.mellifera,1,LATE,HO,t2
Queen.Annes.Lace,Apis.mellifera,2,LATE,HO,t6
Red.Clover,Apis.mellifera,1,LATE,HO,t6
Red.Clover,Apis.mellifera,1,LATE,SV,t4
Red.Clover,Apis.mellifera,4,LATE,SV,t8
Frost.Aster,Apis.mellifera,1,LATE,TR,t2
Narrow.Leaf.Plantain,Apis.mellifera,2,LATE,TR,t6
Pokeweed,Apis.mellifera,3,LATE,TR,t6
Red.Clover,Apis.mellifera,4,LATE,TR,t6
Narrow.Leaf.Plantain,Apis.mellifera,1,LATE,TR,t8
Red.Clover,Apis.mellifera,9,LATE,TR,t8
Unknown.Aster,Apis.mellifera,2,LATE,TR,t8
Chichory,Augochlora.pura,2,EARLY,SV,t1
Chichory,Augochlora.pura,5,LATE,BU,t1
Chichory,Augochlora.pura,1,LATE,BU,t6
Chichory,Augochlora.pura,2,LATE,BU,t8
Queen.Annes.Lace,Augochlora.pura,1,LATE,BU,t8
Chichory,Augochlora.pura,1,LATE,DS,t4
Narrow.Leaf.Plantain,Augochlora.pura,1,LATE,DS,t4
White.Snakeroot,Augochlora.pura,3,LATE,SV,t1
Frost.Aster,Augochlora.pura,1,LATE,SV,t4
Field.Bindweed,Augochlorella.aurata,1,EARLY,DS,t1
Chichory,Augochlorella.aurata,1,EARLY,SV,t1
Frost.Aster,Augochlorella.aurata,1,LATE,SV,t4
Red.Clover,Bombus.bimaculatus,1,EARLY,BU,t1
Chichory,Bombus.bimaculatus,3,EARLY,DS,t2
Red.Clover,Bombus.bimaculatus,2,EARLY,SV,t1
Red.Clover,Bombus.bimaculatus,1,EARLY,TR,t8
Red.Clover,Bombus.fervidus,1,EARLY,DS,t2
Red.Clover,Bombus.fervidus,1,LATE,BU,t1
Red.Clover,Bombus.fervidus,4,LATE,BU,t4
Red.Clover,Bombus.fervidus,3,LATE,CE,t4
Red.Clover,Bombus.fervidus,4,LATE,CE,t6
Red.Clover,Bombus.fervidus,10,LATE,CE,t8
Red.Clover,Bombus.fervidus,1,LATE,DS,t1
Chichory,Bombus.fervidus,1,LATE,DS,t4
Red.Clover,Bombus.fervidus,5,LATE,DS,t4
White.Clover,Bombus.fervidus,1,LATE,DS,t4
Red.Clover,Bombus.fervidus,2,LATE,DS,t6
Chichory,Bombus.fervidus,1,LATE,DS,t8
Red.Clover,Bombus.fervidus,3,LATE,DS,t8
Red.Clover,Bombus.fervidus,3,LATE,FA,t1
Red.Clover,Bombus.fervidus,2,LATE,FA,t4
Red.Clover,Bombus.fervidus,4,LATE,FA,t6
Red.Clover,Bombus.fervidus,1,LATE,FA,t8
Red.Clover,Bombus.fervidus,2,LATE,GL,t4
Red.Clover,Bombus.fervidus,2,LATE,GL,t6
Red.Clover,Bombus.fervidus,7,LATE,GL,t8
Red.Clover,Bombus.fervidus,2,LATE,HO,t1
Red.Clover,Bombus.fervidus,2,LATE,HO,t6
Red.Clover,Bombus.fervidus,3,LATE,SV,t1
Red.Clover,Bombus.fervidus,5,LATE,SV,t4
Red.Clover,Bombus.fervidus,5,LATE,SV,t8
Red.Clover,Bombus.fervidus,1,LATE,TR,t4
Red.Clover,Bombus.fervidus,2,LATE,TR,t6
Red.Clover,Bombus.fervidus,7,LATE,TR,t8
Everlasting.Pea,Bombus.griseocollis,1,EARLY,BU,t1
White.Clover,Bombus.griseocollis,1,EARLY,BU,t2
Red.Clover,Bombus.griseocollis,1,EARLY,DS,t1
Purple.Thistle,Bombus.griseocollis,1,EARLY,DS,t4
Red.Clover,Bombus.griseocollis,1,EARLY,FA,t6
Red.Clover,Bombus.griseocollis,1,EARLY,SV,t4
Chichory,Bombus.griseocollis,1,EARLY,TR,t2
Chichory,Bombus.griseocollis,1,EARLY,TR,t8
Red.Clover,Bombus.griseocollis,1,EARLY,TR,t8
Red.Clover,Bombus.griseocollis,1,LATE,BU,t4
Red.Clover,Bombus.griseocollis,4,LATE,CE,t8
Purple.Thistle,Bombus.griseocollis,2,LATE,DS,t4
Queen.Annes.Lace,Bombus.griseocollis,1,LATE,FA,t6
Red.Clover,Bombus.griseocollis,2,LATE,FA,t8
Red.Clover,Bombus.griseocollis,2,LATE,GL,t4
Red.Clover,Bombus.griseocollis,2,LATE,GL,t6
Red.Clover,Bombus.griseocollis,1,LATE,GL,t8
Red.Clover,Bombus.griseocollis,1,LATE,HO,t6
Red.Clover,Bombus.griseocollis,2,LATE,SV,t4
Hibiscus,Bombus.griseocollis,1,LATE,TR,t8
Red.Clover,Bombus.griseocollis,4,LATE,TR,t8
Red.Clover,Bombus.impatiens,1,EARLY,BU,t1
Crown.Vetch,Bombus.impatiens,1,EARLY,BU,t2
Sweet.Clover.white,Bombus.impatiens,1,EARLY,BU,t2
Red.Clover,Bombus.impatiens,1,EARLY,BU,t4
Purple.Thistle,Bombus.impatiens,1,EARLY,DS,t4
White.Clover,Bombus.impatiens,1,EARLY,TR,t6
Chichory,Bombus.impatiens,3,LATE,BU,t1
Red.Clover,Bombus.impatiens,1,LATE,BU,t1
Unknown.Aster,Bombus.impatiens,2,LATE,BU,t1
Night.Blooming.Prim.Rose,Bombus.impatiens,1,LATE,BU,t2
Red.Clover,Bombus.impatiens,1,LATE,BU,t2
Chichory,Bombus.impatiens,2,LATE,BU,t4
Red.Clover,Bombus.impatiens,11,LATE,BU,t4
Unknown.Aster,Bombus.impatiens,2,LATE,BU,t4
Chichory,Bombus.impatiens,1,LATE,BU,t6
Goldenrod,Bombus.impatiens,1,LATE,BU,t6
Red.Clover,Bombus.impatiens,1,LATE,BU,t6
Unknown.Aster,Bombus.impatiens,5,LATE,BU,t6
Unknown.Aster,Bombus.impatiens,1,LATE,BU,t8
Chichory,Bombus.impatiens,4,LATE,CE,t2
Chichory,Bombus.impatiens,1,LATE,CE,t4
Red.Clover,Bombus.impatiens,6,LATE,CE,t8
Field.Bindweed,Bombus.impatiens,1,LATE,DS,t1
Red.Clover,Bombus.impatiens,6,LATE,DS,t1
Chichory,Bombus.impatiens,1,LATE,DS,t4
Purple.Thistle,Bombus.impatiens,1,LATE,DS,t4
Chichory,Bombus.impatiens,1,LATE,DS,t6
Chichory,Bombus.impatiens,1,LATE,DS,t8
Queen.Annes.Lace,Bombus.impatiens,1,LATE,DS,t8
Red.Clover,Bombus.impatiens,2,LATE,FA,t1
Red.Clover,Bombus.impatiens,1,LATE,FA,t6
Red.Clover,Bombus.impatiens,5,LATE,FA,t8
Frost.Aster,Bombus.impatiens,1,LATE,GL,t4
Red.Clover,Bombus.impatiens,2,LATE,GL,t4
Freak.Clover,Bombus.impatiens,2,LATE,GL,t6
Red.Clover,Bombus.impatiens,1,LATE,GL,t6
Red.Clover,Bombus.impatiens,1,LATE,GL,t8
Queen.Annes.Lace,Bombus.impatiens,1,LATE,HO,t6
Queen.Annes.Lace,Bombus.impatiens,1,LATE,SV,t1
Red.Clover,Bombus.impatiens,2,LATE,SV,t1
Frost.Aster,Bombus.impatiens,7,LATE,SV,t4
HorseNettle,Bombus.impatiens,1,LATE,SV,t4
Red.Clover,Bombus.impatiens,5,LATE,SV,t4
Goldenrod,Bombus.impatiens,1,LATE,SV,t6
Chichory,Bombus.impatiens,1,LATE,SV,t8
Downy.Wood.Mint,Bombus.impatiens,2,LATE,SV,t8
Red.Clover,Bombus.impatiens,4,LATE,SV,t8
Chichory,Bombus.impatiens,1,LATE,TR,t2
Field.Bindweed,Bombus.impatiens,2,LATE,TR,t2
Frost.Aster,Bombus.impatiens,2,LATE,TR,t2
Frost.Aster,Bombus.impatiens,1,LATE,TR,t4
Red.Clover,Bombus.impatiens,1,LATE,TR,t4
White.Clover,Bombus.impatiens,1,LATE,TR,t4
Field.Bindweed,Bombus.impatiens,1,LATE,TR,t6
Narrow.Leaf.Plantain,Bombus.impatiens,1,LATE,TR,t6
Queen.Annes.Lace,Bombus.impatiens,1,LATE,TR,t6
Red.Clover,Bombus.impatiens,4,LATE,TR,t6
Unknown.square.white.knotweed,Bombus.impatiens,1,LATE,TR,t6
Chichory,Bombus.impatiens,1,LATE,TR,t8
Hibiscus,Bombus.impatiens,1,LATE,TR,t8
Red.Clover,Bombus.impatiens,6,LATE,TR,t8
Unknown.Aster,Bombus.impatiens,4,LATE,TR,t8
Chichory,Bombus.vagans,1,LATE,BU,t1
Red.Clover,Bombus.vagans,1,LATE,BU,t1
Red.Clover,Bombus.vagans,2,LATE,BU,t4
Red.Clover,Bombus.vagans,1,LATE,BU,t6
Red.Clover,Bombus.vagans,1,LATE,FA,t1
Red.Clover,Bombus.vagans,2,LATE,FA,t6
Red.Clover,Bombus.vagans,3,LATE,FA,t8
Red.Clover,Bombus.vagans,1,LATE,GL,t4
Red.Clover,Bombus.vagans,2,LATE,GL,t6
Red.Clover,Bombus.vagans,2,LATE,GL,t8
Red.Clover,Bombus.vagans,1,LATE,SV,t8
Field.Bindweed,Bombus.vagans,1,LATE,TR,t2
Chichory,Ceratina.calcarata,1,EARLY,BU,t1
Fleabane,Ceratina.calcarata,1,EARLY,BU,t2
Yarrow,Ceratina.calcarata,1,EARLY,BU,t4
Chichory,Ceratina.calcarata,2,EARLY,SV,t1
Chichory,Ceratina.calcarata,3,LATE,BU,t1
Chichory,Ceratina.calcarata,15,LATE,BU,t6
Chichory,Ceratina.calcarata,4,LATE,BU,t8
Chichory,Ceratina.calcarata,2,LATE,CE,t4
Mallow,Ceratina.calcarata,4,LATE,CE,t4
Chichory,Ceratina.calcarata,5,LATE,CE,t8
Red.Clover,Ceratina.calcarata,1,LATE,CE,t8
Birdsfoot.Trefoil,Ceratina.calcarata,1,LATE,FA,t1
Chichory,Ceratina.calcarata,8,LATE,FA,t2
Fleabane,Ceratina.calcarata,2,LATE,FA,t2
Birdsfoot.Trefoil,Ceratina.calcarata,1,LATE,FA,t8
Chichory,Ceratina.calcarata,4,LATE,FA,t8
Red.Clover,Ceratina.calcarata,1,LATE,FA,t8
Chichory,Ceratina.calcarata,4,LATE,HO,t2
Horseweed,Ceratina.calcarata,5,LATE,HO,t6
Wood.Sorrel,Ceratina.calcarata,1,LATE,HO,t6
Fleabane,Ceratina.calcarata,3,LATE,SV,t1
White.Snakeroot,Ceratina.calcarata,2,LATE,SV,t1
Frost.Aster,Ceratina.calcarata,1,LATE,SV,t4
Chichory,Ceratina.calcarata,1,LATE,TR,t2
Chichory,Ceratina.strenua,1,LATE,FA,t8
Frost.Aster,Colletes.compactus,5,LATE,SV,t4
Chichory,Halictus.confusus,2,EARLY,BU,t2
Chichory,Halictus.confusus,1,LATE,BU,t1
Chichory,Halictus.confusus,4,LATE,BU,t8
Mallow,Halictus.confusus,5,LATE,CE,t4
Prickly.lettuce,Halictus.confusus,1,LATE,CE,t4
Chichory,Halictus.confusus,1,LATE,CE,t6
