plant,species,time,number,time,neigh,trt
Chicory,Agapostemon.sericeus,LATE.FA.t6,1,LATE,FA,t6
Chicory,Agapostemon.sericeus,LATE.FA.t8,2,LATE,FA,t8
White.Clover,Agapostemon.sericeus,EARLY.GL.t2,1,EARLY,GL,t2
Narrow.leaf.plantain,Agapostemon.texanus,EARLY.CE.t6,1,EARLY,CE,t6
Chicory,Agapostemon.texanus,LATE.FA.t8,1,LATE,FA,t8
Yellow.Sweet.Clover,Agapostemon.texanus,EARLY.GL.t4,1,EARLY,GL,t4
Daisy.Fleabane,Agapostemon.texanus,EARLY.GL.t6,1,EARLY,GL,t6
Narrow.leaf.plantain,Agapostemon.texanus,EARLY.HO.t8,1,EARLY,HO,t8
Unknown.Mint,Agapostemon.texanus,LATE.SV.t8,1,LATE,SV,t8
Chicory,Agapostemon.texanus,EARLY.TR.t6,1,EARLY,TR,t6
Chicory,Agapostemon.virescens,LATE.BU.t1,1,LATE,BU,t1
Chicory,Agapostemon.virescens,LATE.BU.t6,1,LATE,BU,t6
Chicory,Agapostemon.virescens,EARLY.CE.t2,1,EARLY,CE,t2
Chicory,Agapostemon.virescens,EARLY.CE.t4,2,EARLY,CE,t4
Chicory,Agapostemon.virescens,EARLY.CE.t6,1,EARLY,CE,t6
Chicory,Agapostemon.virescens,EARLY.CE.t8,1,EARLY,CE,t8
Brown.Eyed.Susan,Agapostemon.virescens,LATE.CE.t8,1,LATE,CE,t8
Chicory,Agapostemon.virescens,EARLY.DS.t4,1,EARLY,DS,t4
Chicory,Agapostemon.virescens,EARLY.DS.t8,1,EARLY,DS,t8
Burdock,Agapostemon.virescens,LATE.FA.t1,1,LATE,FA,t1
Chicory,Agapostemon.virescens,EARLY.FA.t4,1,EARLY,FA,t4
Chicory,Agapostemon.virescens,EARLY.FA.t8,1,EARLY,FA,t8
Chicory,Agapostemon.virescens,LATE.FA.t8,1,LATE,FA,t8
White.Clover,Agapostemon.virescens,EARLY.GL.t8,1,EARLY,GL,t8
Chicory,Agapostemon.virescens,EARLY.HO.t4,5,EARLY,HO,t4
Yarrow,Agapostemon.virescens,EARLY.HO.t4,1,EARLY,HO,t4
Chicory,Agapostemon.virescens,LATE.HO.t6,1,LATE,HO,t6
Lanceleaf.Coreopsis,Agapostemon.virescens,EARLY.HO.t8,1,EARLY,HO,t8
Chicory,Agapostemon.virescens,EARLY.TR.t2,2,EARLY,TR,t2
Yellow.Sweet.Clover,Andrena.alleghaniensis,EARLY.GL.t4,1,EARLY,GL,t4
White.Clover,Andrena.vicina,EARLY.GL.t6,1,EARLY,GL,t6
Red.Clover,Andrena.wilkella,EARLY.BU.t1,1,EARLY,BU,t1
Red.Clover,Andrena.wilkella,EARLY.BU.t2,1,EARLY,BU,t2
Birdsfoot.trefoil,Andrena.wilkella,EARLY.BU.t6,1,EARLY,BU,t6
White.Sweet.Clover,Andrena.wilkella,EARLY.BU.t6,1,EARLY,BU,t6
Yellow.Sweet.Clover,Andrena.wilkella,EARLY.BU.t6,1,EARLY,BU,t6
White.Clover,Andrena.wilkella,EARLY.CE.t4,1,EARLY,CE,t4
Field.Bindweed,Andrena.wilkella,EARLY.CE.t8,1,EARLY,CE,t8
White.Clover,Andrena.wilkella,EARLY.CE.t8,1,EARLY,CE,t8
White.Clover,Andrena.wilkella,EARLY.DS.t8,1,EARLY,DS,t8
Fleabane,Andrena.wilkella,EARLY.FA.t6,1,EARLY,FA,t6
Red.Clover,Andrena.wilkella,EARLY.FA.t6,1,EARLY,FA,t6
White.Clover,Andrena.wilkella,EARLY.FA.t6,1,EARLY,FA,t6
Red.Clover,Andrena.wilkella,EARLY.FA.t8,2,EARLY,FA,t8
White.Sweet.Clover,Andrena.wilkella,EARLY.GL.t4,1,EARLY,GL,t4
Yellow.Sweet.Clover,Andrena.wilkella,EARLY.GL.t4,1,EARLY,GL,t4
Red.Clover,Andrena.wilkella,EARLY.GL.t6,1,EARLY,GL,t6
Red.Clover,Andrena.wilkella,EARLY.GL.t8,1,EARLY,GL,t8
Red.Clover,Andrena.wilkella,EARLY.HO.t1,3,EARLY,HO,t1
White.Sweet.Clover,Andrena.wilkella,EARLY.HO.t4,1,EARLY,HO,t4
Narrow.leaf.plantain,Andrena.wilkella,EARLY.HO.t8,1,EARLY,HO,t8
Red.Clover,Andrena.wilkella,EARLY.HO.t8,1,EARLY,HO,t8
Birdsfoot.trefoil,Andrena.wilkella,EARLY.SV.t2,1,EARLY,SV,t2
Red.Clover,Andrena.wilkella,EARLY.SV.t6,1,EARLY,SV,t6
Red.Clover,Andrena.wilkella,EARLY.SV.t8,1,EARLY,SV,t8
White.Clover,Andrena.wilkella,EARLY.SV.t8,1,EARLY,SV,t8
Red.Clover,Andrena.wilkella,EARLY.TR.t1,1,EARLY,TR,t1
Red.Clover,Andrena.wilkella,EARLY.TR.t2,1,EARLY,TR,t2
,Andrena.wilkella,EARLY.TR.t4,1,EARLY,TR,t4
Red.Clover,Andrena.wilkella,EARLY.TR.t4,3,EARLY,TR,t4
White.Clover,Andrena.wilkella,EARLY.TR.t6,2,EARLY,TR,t6
White.Sweet.Clover,Andrena.wilkella,EARLY.TR.t6,1,EARLY,TR,t6
White.Sweet.Clover,Andrena.wilkella,EARLY.TR.t8,2,EARLY,TR,t8
Yellow.Sweet.Clover,Andrena.wilkella,EARLY.TR.t8,2,EARLY,TR,t8
Crown.Vetch,Anthidium.manicatum,EARLY.BU.t2,1,EARLY,BU,t2
Red.Clover,Anthidium.manicatum,LATE.CE.t8,1,LATE,CE,t8
Red.Clover,Anthidium.manicatum,LATE.DS.t4,1,LATE,DS,t4
Birdsfoot.trefoil,Anthidium.manicatum,EARLY.FA.t6,1,EARLY,FA,t6
Birdsfoot.trefoil,Anthidium.oblongatum,LATE.BU.t1,1,LATE,BU,t1
Chicory,Anthidium.oblongatum,LATE.BU.t1,3,LATE,BU,t1
Birdsfoot.trefoil,Anthidium.oblongatum,EARLY.BU.t2,2,EARLY,BU,t2
Birdsfoot.trefoil,Anthidium.oblongatum,LATE.BU.t2,2,LATE,BU,t2
Queen.Annes.Lace,Anthidium.oblongatum,LATE.BU.t2,1,LATE,BU,t2
White.Clover,Anthidium.oblongatum,EARLY.BU.t4,1,EARLY,BU,t4
Birdsfoot.trefoil,Anthidium.oblongatum,EARLY.BU.t6,2,EARLY,BU,t6
Birdsfoot.trefoil,Anthidium.oblongatum,EARLY.FA.t1,1,EARLY,FA,t1
Birdsfoot.trefoil,Anthidium.oblongatum,LATE.FA.t1,3,LATE,FA,t1
Birdsfoot.trefoil,Anthidium.oblongatum,EARLY.FA.t4,2,EARLY,FA,t4
Birdsfoot.trefoil,Anthidium.oblongatum,EARLY.FA.t6,1,EARLY,FA,t6
Birdsfoot.trefoil,Anthidium.oblongatum,LATE.FA.t8,1,LATE,FA,t8
Birdsfoot.trefoil,Anthidium.oblongatum,LATE.GL.t6,5,LATE,GL,t6
Birdsfoot.trefoil,Anthidium.oblongatum,EARLY.HO.t2,1,EARLY,HO,t2
White.Sweet.Clover,Anthidium.oblongatum,LATE.HO.t4,1,LATE,HO,t4
Birdsfoot.trefoil,Anthidium.oblongatum,EARLY.SV.t6,1,EARLY,SV,t6
Birdsfoot.trefoil,Anthidium.oblongatum,LATE.SV.t6,2,LATE,SV,t6
Everlasting.Pea,Apis.mellifera,EARLY.BU.t1,1,EARLY,BU,t1
Red.Clover,Apis.mellifera,EARLY.BU.t1,3,EARLY,BU,t1
Chicory,Apis.mellifera,LATE.BU.t1,1,LATE,BU,t1
Chicory,Apis.mellifera,EARLY.BU.t2,2,EARLY,BU,t2
Red.Clover,Apis.mellifera,EARLY.BU.t2,5,EARLY,BU,t2
Narrow.leaf.plantain,Apis.mellifera,EARLY.BU.t4,2,EARLY,BU,t4
Red.Clover,Apis.mellifera,EARLY.BU.t4,6,EARLY,BU,t4
White.Clover,Apis.mellifera,EARLY.BU.t4,1,EARLY,BU,t4
White.Sweet.Clover,Apis.mellifera,EARLY.BU.t6,9,EARLY,BU,t6
Yellow.Sweet.Clover,Apis.mellifera,EARLY.BU.t6,6,EARLY,BU,t6
Bull.Thistle,Apis.mellifera,LATE.BU.t6,2,LATE,BU,t6
Queen.Annes.Lace,Apis.mellifera,EARLY.BU.t8,1,EARLY,BU,t8
Red.Clover,Apis.mellifera,EARLY.BU.t8,1,EARLY,BU,t8
Red.Clover,Apis.mellifera,EARLY.CE.t4,1,EARLY,CE,t4
Chicory,Apis.mellifera,EARLY.CE.t6,1,EARLY,CE,t6
White.Sweet.Clover,Apis.mellifera,EARLY.CE.t6,4,EARLY,CE,t6
Red.Clover,Apis.mellifera,EARLY.DS.t1,1,EARLY,DS,t1
Canadian.Thistle,Apis.mellifera,EARLY.DS.t4,5,EARLY,DS,t4
Narrow.leaf.plantain,Apis.mellifera,EARLY.DS.t4,8,EARLY,DS,t4
Red.Clover,Apis.mellifera,EARLY.DS.t4,2,EARLY,DS,t4
White.Clover,Apis.mellifera,EARLY.DS.t4,5,EARLY,DS,t4
Canadian.Thistle,Apis.mellifera,LATE.DS.t4,1,LATE,DS,t4
Red.Clover,Apis.mellifera,LATE.DS.t4,1,LATE,DS,t4
Canadian.Thistle,Apis.mellifera,EARLY.DS.t6,2,EARLY,DS,t6
Red.Clover,Apis.mellifera,EARLY.DS.t6,2,EARLY,DS,t6
Narrow.leaf.plantain,Apis.mellifera,EARLY.DS.t8,1,EARLY,DS,t8
Red.Clover,Apis.mellifera,EARLY.DS.t8,3,EARLY,DS,t8
White.Clover,Apis.mellifera,EARLY.DS.t8,2,EARLY,DS,t8
Narrow.leaf.plantain,Apis.mellifera,EARLY.FA.t1,1,EARLY,FA,t1
Red.Clover,Apis.mellifera,EARLY.FA.t1,4,EARLY,FA,t1
