"","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_falpha","SES_fbsor","SES_fbsim","SES_fbsne"
"47thStGarden",-1.13418819017047,0.142987584868252,-0.977161287998026,1.24431268730201,0.869962133351233,-0.869962133351234,2.83822697592981,-2.10507457111284,-0.96516523691848,-0.24495795191582,-0.746532030210946,0.256248313201457,-0.0563920475393485,0.432632019212399,-0.196522697386296,5.31299040702894,2.8733007334992,-3.0373190276027,-1.28064465942001,4.58896760994954,3.21399449085664,2.61915740449847
"BluePike",-0.0396907207169758,-2.55944594334412,2.05389224020796,-0.0305975568081926,-1.18025299349895,1.18025299349895,1.47242028381073,-1.86701493113694,1.89046595090558,-0.0602336969360023,-1.48381855634119,1.87048328723157,-2.42653013201577,2.78409774751167,-2.72150430812477,3.32588941425809,0.872892941723052,-0.891817527936352,-1.13683014400419,4.45990818467742,3.66216502935148,2.30732093068756
"Buckeye",-1.35679399328633,-2.42516587094813,2.28289751133778,-0.470280329966227,-0.213544564545196,0.213544564545193,1.2745687249733,-1.81644650419954,0.312603274310712,0.0767745016365335,0.556497767661435,1.45224348013323,-2.04163588265578,3.25637022739305,-2.62361214106337,3.40328887527597,1.26635811996593,-1.2251224074347,-1.96799765462416,3.35212032827246,1.89543763941448,2.80843756570038
"Esperanza",0.577602268283871,-2.33712236981937,2.13748101906009,-0.41713890026603,-1.01962217301941,1.01962217301941,-0.220885422657934,-0.267117630758201,1.2963566332841,0.0858508696562568,-0.397345333410732,1.59867602281832,-0.59342031212758,1.96557220271771,-2.49727246235679,1.56727558963905,-0.977821896046885,1.17324940338084,-0.89652748439975,3.08800769452118,1.73445563477046,2.66231563577862
"Fairfax",0.881582253269452,-1.73548401292068,2.12611438788803,-1.00633222563903,0.43472481623706,-0.434724816237062,0.666400943547058,-1.88283150669941,2.49238641034048,-0.319414197688525,0.0593742042171672,2.05989625357865,-2.04939940388736,1.66309127474374,-1.98410196858419,2.61865703537346,-0.980129659855847,0.690447260127412,-1.05921300330069,3.42676692313784,0.547167222928287,3.07793753523733
"LonnieBurten",-0.467641419239965,-0.849759202147406,1.23545763319651,-0.803474423160101,0.118986411318953,-0.118986411318953,0.435999841221692,-1.47035930643608,0.886878685594032,1.0822457781616,0.24367304711347,2.43755032848977,-2.52260962747465,1.6438364493092,-1.10433254282567,4.1295697531701,1.72119907378484,-1.8813121735969,-0.703398604238859,3.22182656308591,0.668938791096346,3.19070339583478
"Midtown",1.40670186370445,-2.82335032073396,2.42695384558098,-0.120165919279687,0.367808344244818,-0.367808344244821,-0.0211726801542908,-0.681554454534635,1.88102402370652,-0.493962327856309,-0.23902068385716,1.52387348898064,-0.798706120546636,2.09468658103682,-3.116075581568,4.82988182209541,-0.541391744343906,-0.0655556585280097,-0.863660069639697,3.79665781187632,0.108375261323511,3.28948361155699
"SlavicVillage",0.635578384468803,-1.67380615016536,1.57197164075804,-0.27616816186501,-0.851249276176838,0.85124927617684,0.110572767590202,-1.39720676818363,0.724854049409248,0.929554904687331,1.00040244134799,2.17051998327918,-1.08758391578149,1.26078299317528,-1.94513440057471,3.45306815448445,0.423099072758736,-0.940496893849291,0.535326716898958,5.02795733204304,-0.264945408796792,5.50977962802511
"C10",0.772818713906911,-1.97355041713417,1.62717694976894,0.00626919587044671,-0.580465291971036,0.580465291971033,0.638149108730591,-1.76910339687851,1.94847439693409,-0.0707404545486576,0.322014331260193,2.50520824196855,-1.12402037087855,1.77770030268589,-2.17152712814635,2.92876842480089,0.519066281655222,-0.709331659584293,-0.321333123084838,3.89970336921896,2.61362414920012,2.48030709400946
"C11",1.01146504685585,-2.14328871011975,2.82904054083933,-1.53887019369072,-1.53619439506915,1.53619439506915,0.378753829803204,-1.29753406934302,2.4911807148319,-0.216633267061787,-0.716297126888247,2.33712400257037,-1.32561564935342,1.92318370682928,-2.41575366442761,1.94433775525917,-1.11923436324966,0.785783991336053,-0.607117232499089,3.41052906756837,1.02975235472882,3.02194142917788
