"","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_falpha","SES_fbsor","SES_fbsim","SES_fbsne"
"47thStGarden",-1.40298122848013,-0.037283716055268,-0.439137735065496,0.643459203357697,0.592335754229982,-0.592335754229982,2.46275485374923,-1.88962419292344,-1.06357520163596,-0.0456623696663065,-0.564604489483616,0.567645797078428,-0.405619951560563,0.74880726611028,-0.454283758082179,-12.6606572477489,-14.9735810398142,12.3737634018362,-1.19542818797605,-0.478374000849724,0.451169326465666,-0.783359593283307
"BluePike",-0.466259660047892,-2.61177604893927,2.35741919332491,-0.474091113904063,-1.63399524781473,1.63399524781473,1.21983845236355,-1.53983465131652,1.51317639384937,0.00938946011624628,-1.46947698958516,2.09116805552133,-2.66802378238684,3.19054231526305,-2.85100830615857,-16.1814237351033,-19.1168008545595,15.0449095119595,-0.981554448759955,1.66590303121831,0.911516763702848,0.847855241649104
"Buckeye",-1.56719520844118,-2.44839044485889,2.45358346534981,-0.75460735799599,-0.545175491153712,0.54517549115371,1.07866728051953,-1.63513468506996,0.0589456099832141,0.165186042512163,0.751269703256499,1.79489876068526,-2.25166994506716,3.46805794720051,-2.67360734712142,-14.1203869768139,-18.4910039319237,15.9574438963417,-1.75514381333131,0.575754898234839,-0.2694335765454,0.621265816912932
"Esperanza",0.187832524639447,-2.41265834115488,2.42308923507764,-0.743642772308815,-1.3239645410013,1.3239645410013,-0.414830780007505,-0.084538711856375,0.982713236526041,0.249562352315274,-0.238262463240698,1.8551442983016,-0.81800175739532,2.29842158375477,-2.63105844690754,-16.3617576695611,-21.7064223982437,19.4887542321099,-0.679914514372576,0.306480166507238,-0.690613353289733,0.625762844942481
"Fairfax",0.399885682989883,-1.87947558579102,2.481548164639,-1.34290427875132,-0.373307819905337,0.373307819905339,0.184595164818116,-1.30909936556493,1.81401968139134,-0.166511966771119,0.252399365946567,2.55239367455103,-2.07276323415145,1.87219150778394,-2.19814538192231,-18.9443689434876,-22.1465534408805,19.585225112061,-0.712084127704308,-1.41882272621055,-1.21379648656458,-0.188395713465339
"LonnieBurten",-0.85302184493672,-0.992246814458268,1.67106163931493,-1.12562971559597,-0.178883576718795,0.178883576718796,0.177968286114288,-1.1921596278549,0.607179054418802,1.1373923860236,0.476532084780998,2.81033152678135,-2.67420515712215,1.96236937203434,-1.32909694443398,-15.4238989484572,-18.1435037493641,14.1294905890877,-0.632448980031575,-1.20160274150873,-0.582810943271464,-0.679937603823388
"Midtown",0.815068912593936,-2.90482366958464,2.76881800641619,-0.669798992414055,0.0763460376961477,-0.0763460376961495,-0.217870273728836,-0.405995128560188,1.44133112471713,-0.352841716454123,-0.05943533356606,1.95088134814202,-1.1391763780255,2.45829326837824,-3.2131692637573,-15.7970821627895,-21.0050391520182,18.0984017654682,-0.913770927679154,-0.42505209111336,-1.19489949596473,0.611337181173408
"SlavicVillage",0.227950748798967,-1.77063838579469,1.84992437833036,-0.688489824324884,-1.11943896508816,1.11943896508817,-0.103653600086495,-1.10061356761936,0.440988018440312,1.07657712205715,1.29465134015895,2.5738174148106,-1.35963485000333,1.5900815738065,-2.12231440841933,-17.5576872674425,-20.3271280131102,17.4924588666566,0.508153563212285,-0.0244158744802132,-2.17768589321353,1.61077144476599
"C10",0.360470308860137,-2.06792565920487,1.93044490445604,-0.382017166750704,-0.838194528890473,0.838194528890468,0.467863850985736,-1.52967084079105,1.42095996766592,0.0826934642687633,0.494356621722179,3.00446063241421,-1.37080389947458,2.02236394656952,-2.34156034835722,-16.104555690681,-19.0244455849331,14.7755185759941,-0.248924027749133,-0.545006436973674,-0.224642326482829,-0.338380632455264
"C11",0.542111317249189,-2.19595092894545,3.07500852308961,-1.79769138224125,-1.90943556869766,1.90943556869765,0.134836890500638,-0.995292493923162,1.93969734711012,-0.0987399240199122,-0.578853978762821,2.65430157988885,-1.50095605324418,2.05010263829392,-2.46713845625215,-18.3204228333007,-21.0163344079201,18.0572719501182,-0.482945001585107,-1.10894152399677,-0.520280757957758,-0.624125307158537
