"","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_falpha","SES_fbsor","SES_fbsim","SES_fbsne"
"47thStGarden",-1.41944730384796,-0.0430908370933267,-0.420550497237693,0.60177442130781,0.396788113547665,-0.396788113547665,2.6070171637669,-1.86350486057308,-1.13563833596702,-0.104498903471136,-0.564514806481494,0.5471882320564,-0.354898469279328,0.710934068954115,-0.457414139224727,-12.1717277207155,-14.3798788855609,12.1250338845613,-1.12750479461552,-0.370850384939819,0.698640956954838,-0.879026485909677
"BluePike",-0.428798486467765,-2.66794137892667,2.45359307144187,-0.377738091751048,-1.6835890893852,1.68358908938519,1.29868407504659,-1.71487453810749,1.49027645182317,0.0511467906859288,-1.39863074432194,2.08368376045929,-2.56231512271607,3.05719100817569,-2.85316649252177,-16.0951673341411,-19.007880223302,14.7781503497603,-0.928335249315921,1.58663045440811,0.571442713080964,1.01077660848931
"Buckeye",-1.65209646029116,-2.42816589677517,2.56230844961354,-0.832773050834587,-0.707147122435864,0.707147122435863,1.03527288908591,-1.56553255636461,0.0394520593712845,0.150526091564713,0.727664867197601,1.73204881215145,-2.3195455090899,3.63985791802548,-2.65146500922492,-13.9804845337152,-18.3177683168631,15.712484892201,-1.60696318717099,0.412780571006824,-0.112059976687711,0.403993259386454
"Esperanza",0.189957944087149,-2.40576295439143,2.43320022678592,-0.779253656135987,-1.48439219097476,1.48439219097476,-0.387528448837821,-0.0872966835240526,0.976466088042109,0.220515177183149,-0.253084797472201,1.88471358720045,-0.866603500859173,2.19497851443048,-2.5898524895593,-16.5287313410625,-21.9047180618343,18.7593512419704,-0.608157303054665,0.0640737375127588,-0.783746546641395,0.442127447148572
"Fairfax",0.334648722660287,-1.94027920855609,2.5441754266062,-1.41715709196065,-0.640916368630395,0.640916368630397,0.167960023986443,-1.36318164236344,1.86373773670431,-0.17223050748852,0.281729134909053,2.378224809898,-2.16083056930222,1.96615629766572,-2.25940797187136,-18.4320885876492,-21.543955377563,18.8945962078899,-0.533031270059248,-1.42485750875662,-1.16198509759209,-0.3184515064337
"LonnieBurten",-0.746628959311113,-1.04384163733283,1.60503603309789,-1.06395762052102,-0.32894437897974,0.328944378979741,0.16313329542205,-1.18970606714577,0.643734825908981,1.13086546451836,0.462324576195322,2.77460519339855,-2.75621163742908,1.98412806537422,-1.38778948432213,-14.8348081621184,-17.4549379016023,14.0243791079037,-0.463914021798697,-1.16082668582477,-0.552941877368026,-0.710042366203937
"Midtown",0.705343515707187,-2.92834270780659,2.70434808608699,-0.581592964530065,-0.206565196383795,0.206565196383792,-0.289048588767713,-0.294160773919242,1.36374584299864,-0.376457973579347,-0.0347787750721762,1.8389389737519,-1.02733592404053,2.3623831863794,-3.28123791233303,-15.5121752932266,-20.6192466209987,17.7443121457703,-0.792048655430015,-0.791684325585338,-1.08214575948196,0.295235401238614
"SlavicVillage",0.109676785546484,-1.73179136972059,1.89214096758582,-0.674287464052927,-1.36559264535691,1.36559264535692,-0.0556246210165129,-1.13134313833898,0.365092836313148,1.05186146132884,1.17447206192436,2.60326123104397,-1.3327565230105,1.54917776596248,-2.07119345518235,-17.7094352367077,-20.5077839355929,17.591220648943,0.643461529337932,-0.351519475354369,-2.09925590188995,1.24639376039546
"C10",0.343087433066687,-2.05348007204809,2.0421860838703,-0.440797964559736,-1.1027441225894,1.10274412258939,0.41788092767611,-1.58105481361455,1.45373594972111,0.0345591197970165,0.520376154640754,2.98577918813189,-1.39245185570017,2.13916987918079,-2.2969670162237,-16.1704748488245,-19.1010892622952,15.2196030162508,-0.15782882871551,-0.52262019720725,-0.16890540575935,-0.348964687299396
"C11",0.544788695538129,-2.22121513928341,3.24058685168144,-1.83698896268602,-2.03782301880448,2.03782301880448,0.110278724585935,-1.00779385515122,2.0961931024806,-0.0540146647429976,-0.55780851517038,2.56196274527145,-1.52948199398219,2.13816275517266,-2.53314801870311,-18.913831616285,-21.6961229946425,18.2523259179885,-0.453585839891485,-1.21589623124134,-0.444821362802839,-0.730281642126242
"C13",0.738705676755452,-0.879134361796989,1.45801438122426,-1.02425312781358,-1.03374789643124,1.03374789643124,-0.312225509060547,-0.694268411928265,1.44075534538969,0.0224441557251096,0.51024139570428,2.92781208715515,-1.48608603686166,0.612434344964907,-1.20785708387958,-17.9265886927705,-21.0669157043616,16.6762780002668,0.221126323870976,-0.227634248725023,0.693231519481348,-0.601801146731806
"C5",-2.17217801494692,-2.62614251356638,3.06553269080263,-1.45809036681836,-1.01817092979874,1.01817092979874,-0.298433333342861,-0.0167408545235687,-0.308962563372165,0.547877633513482,0.653726652144995,2.10591373652371,-1.26409296709637,1.59414945744941,-2.52888876145964,-12.3798460479922,-19.3242892265715,17.7369831711791,-1.53570715227957,-0.318266091540431,-0.226610281349661,-0.0346986420147185
"C6",-1.27981925550666,-1.46124732395704,2.39445807990932,-1.64915649642814,-1.87282802970008,1.87282802970008,-0.10415724653995,-0.0743951057916809,-0.993506775314797,0.0910485448264646,1.47659617886744,0.862152466224653,-1.19115402141579,2.62727778903287,-1.74945897058218,-14.5579552894436,-17.8549482150143,14.959310252198,-0.825810923509249,-1.6537387198312,-1.41246589315307,-0.645694884856502
"C69",-1.18259453659206,-3.15834084908653,3.31426439122082,-0.983704928474984,-0.965170292159949,0.96517029215995,-0.393835344252059,-0.359161910639033,0.126142994259153,0.763076902931225,0.947605481083671,3.2356157351735,0.266556726900342,0.934145330724001,-3.45195364951314,-14.7642750722363,-18.4856746029661,15.2214890684438,-1.28142122186947,1.30288096861586,0.269213093441399,0.829341744604101
"C7",-1.13740630009694,-2.61581957808573,3.15525007251196,-1.4397192264042,-2.28380441071697,2.28380441071697,-0.703693916259478,-0.231241214545267,0.96237156357681,0.847161764712168,0.183765620122233,1.54308354407192,-1.68495476566925,3.86012441089933,-2.90530179473185,-16.2510888885237,-19.6994146064232,17.1717814194454,-0.488655879978917,-1.55685690103304,-0.629561455495337,-0.764357688569932
"C9",0.943977412275296,-2.76457882716317,2.65495022340968,-0.535235787771343,-0.866794637410216,0.866794637410215,-1.28172701576132,0.678824948573429,1.57175559260561,-0.316293419476505,0.0188266974604945,1.90254646878828,-0.385842489449778,1.85598097268571,-3.08076318832615,-15.5281291126031,-19.7913790648529,16.4103718571339,-0.404956089478036,-1.43525358363387,-0.609192196197309,-0.574486503771263
