"","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_fbsor","SES_fbsim","SES_fbsne"
"47thStGarden",-2.48410166927225,-0.926188947996614,1.99617382591133,-1.43188191230076,-1.17655975843451,1.17655975843451,0.639322193270309,-0.643252386919941,-0.536461957952366,0.21466151685786,0.369860389843094,1.59280080597779,-1.16334617819492,1.82211375967382,-1.20636859700488,-33.3404715099743,-47.7022998395895,26.392092110344,5.49925271537081,1.04383329521104,3.43130806106166
"BluePike",-1.28987264532301,-2.98618234083531,4.23401276331647,-2.1108598517499,-4.01660380774612,4.01660380774613,-0.497656269833353,-0.469678611188559,2.26410265448138,0.356320863273875,-0.833535611758185,3.27505328199725,-3.15203143095177,4.24451932016859,-3.1677492895886,-42.4061992116724,-57.2669624939538,32.1593222839602,4.63016029367714,2.4793492395103,2.01660149937094
"Buckeye",-2.65465615541558,-2.75361396496071,4.15688976838209,-2.26457142036909,-2.38446056547853,2.38446056547853,-0.487560902368624,-0.633749038144312,0.561708521919644,0.415009025720599,2.02920228198156,2.79256980739304,-2.86205283447481,4.92711887264067,-2.94143975982585,-42.4325768013278,-55.7729694204863,31.6033725626069,3.10471706094316,0.430572625663869,2.63485725630576
"C10",-0.561581060404787,-2.52051871946555,3.67622745432815,-1.95555835757952,-3.20615460844919,3.2061546084492,-1.32614593641853,-0.385390697794126,2.11153885879088,0.271186108515012,1.78113470950813,4.24561475645597,-2.12204585564036,3.20258710440365,-2.73697886907536,-45.4863835538233,-61.864136672932,34.8288384432997,4.50896837837939,0.952302572700438,3.12150947141049
"C11",-0.394592777767487,-2.69255293794512,4.88931194638182,-3.11598369351637,-4.72568848083831,4.72568848083831,-1.68012019067915,0.148420027136478,2.81285212980468,0.247679276962901,0.390278697783085,3.73944077055564,-2.22900939842554,3.45932625097747,-2.8616472854305,-48.7128662384282,-68.2004230562012,39.8460363837347,4.74575114527172,-0.515323828408179,3.57971411145991
"C13",-0.200530315551924,-1.62257353457274,3.55189313066281,-2.46473353396913,-3.01326944677821,3.01326944677822,-2.16182394096125,0.528219238579116,2.13077282101113,0.354453687615441,1.76748329668594,4.04681096230107,-1.98455453154406,1.67893316449715,-1.84618746529941,-45.7340020291181,-61.2213897209251,33.7777962841837,5.21995536156902,1.10413762917369,3.25023981505415
"C5",-3.17786814842667,-3.0078289515636,5.35675222853287,-3.30939403428585,-4.16319388850311,4.16319388850312,-2.43323403324676,1.43720347577321,0.507275719188516,0.868174866638399,2.18804176520765,3.44321971352524,-2.13838332992517,2.88985464814207,-2.89772469770769,-32.7783885189979,-61.5551941864432,43.6680201255055,4.63420843172876,-1.28709791701366,3.59179615821976
"C6",-2.29276801973891,-2.06283423839337,4.06377785241414,-2.781276142962,-3.92226044921192,3.92226044921192,-1.84088754265319,1.05927097315427,-0.430886096904209,0.399144586795739,3.1328063859235,1.85311889008721,-1.90164054185459,3.91743442584833,-2.25801469140654,-37.527724613244,-50.2763557913064,27.5458732571671,3.65587530848515,-1.92451804704449,4.49670224648624
"C69",-2.01673906813903,-3.37509424993266,5.08174018543215,-2.64024116371892,-3.29394267558032,3.29394267558033,-2.1817004646422,1.0419652351205,0.739608329260238,0.0574485650749367,2.6977901975293,3.96092993277095,-0.506256357229454,2.18906520511094,-3.54702584226286,-42.6102835741206,-66.5231961741202,42.3083898557401,3.32360866920332,0.760081672470851,1.75039633367095
"C7",-2.1098178849042,-3.00481552742011,4.92671481477101,-2.95373268872341,-4.83499115397717,4.83499115397717,-2.55812524751864,1.09072006907978,1.54695074307207,1.29374010745681,1.48135745573304,2.7822688788084,-2.36775624193845,5.20345343229141,-3.19246242535114,-40.9755374688063,-63.1955975901892,40.4645111547355,3.91897850797806,-1.35441689364697,3.33157149357289
