"","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_falpha","SES_fbsor","SES_fbsim","SES_fbsne"
"47thStGarden",-1.20896708745104,0.122654033105252,-0.534300433600763,0.598031137379675,0.595066580570689,-0.595066580570689,2.4415687435592,-1.96750340442827,-0.79019484218398,-0.100318912136681,-0.607750046485462,0.550030622090682,-0.531682693429089,0.832604916461879,-0.325383163254806,-12.3924814774139,-14.6220552640732,11.8648892313961,-1.02205860732108,0.0202324149147228,0.855837542010578,-0.612402932642133
"BluePike",-0.247555258772036,-2.50505457629407,2.327635002618,-0.481849278199399,-1.41615736985095,1.41615736985095,1.15339678193333,-1.60235032833111,2.03718486708075,1.35549982295483e-16,-1.4083004355352,2.16059037347358,-2.71462201366723,3.06488719371115,-2.71435519261967,-15.5868168131767,-18.3823596963384,14.2814139920251,-0.855689734713574,2.0718372141521,1.1878180328408,1.13938229299683
"Buckeye",-1.49298430906401,-2.37174776545579,2.55558963925773,-0.886220194028441,-0.553063985638869,0.553063985638866,0.995087249283869,-1.77004270049893,0.464213386705467,0.168250142837533,0.72733433819389,1.81718250547446,-2.4125593132429,3.73079410610269,-2.65824427721227,-13.5455772462341,-17.7195916781381,15.6003167929351,-1.72167604070676,0.633730383800048,0.144935691296383,0.45937953730556
"Esperanza",0.453487967481079,-2.36495820787817,2.36861327885665,-0.691322148502754,-1.2765841251215,1.2765841251215,-0.451431938098021,-0.152140408386652,1.39858307776525,0.146609383053542,-0.294478199544855,1.78259166677543,-0.921049263701223,2.26182196738228,-2.58666760544018,-16.7963026989647,-22.2455954308629,19.6279759774896,-0.583417457039827,0.453566837694098,-0.52211796189505,0.638753032823576
"Fairfax",0.676387889140052,-1.7326918242086,2.37112379239257,-1.37802956269598,0.185702776797156,-0.185702776797157,0.315715735025588,-1.72519676301431,2.71070416833754,-0.16200177161013,0.262585885976688,2.57207094816061,-2.40296051743897,2.05388098383234,-2.06990384791483,-18.1045463885473,-20.9692811053878,18.022035169,-0.784507695911881,-0.940070695274224,-1.01914643169006,-0.0280835445144906
"LonnieBurten",-0.620516267925816,-0.917033721109169,1.54176412117195,-1.13828401349271,-0.104928034141176,0.104928034141177,0.0793467848181488,-1.24497855085474,1.06149567877884,1.18703527333681,0.3884854868134,2.87057167002704,-2.8174168936358,2.03675706984535,-1.29288249144989,-14.8463723089731,-17.4353025187154,13.6535067157848,-0.442996527591158,-0.862852281708335,-0.335082949402743,-0.562245980661551
"Midtown",1.12326724308167,-2.73457379680259,2.72233246200724,-0.600015395541,0.0860213861296494,-0.0860213861296525,-0.36248812301103,-0.447202553082555,2.08809083244628,-0.388025161174802,-0.126592649158029,1.91713079983205,-1.16928822263591,2.58028283807338,-3.05923244353742,-15.2092084251991,-20.3740149762419,17.9523248950253,-0.628017296061925,0.197967634572364,-0.992945288287897,0.994662228800811
"SlavicVillage",0.481852453522139,-1.70809961309984,1.859490459008,-0.695980115419143,-1.14253740093691,1.14253740093692,-0.217558642723656,-1.19299877477068,0.935641891243711,1.04191377274387,1.18429078478836,2.49295645204095,-1.42239007681184,1.6868955439622,-2.02176210110232,-17.2113631939933,-19.8960852768295,16.6583299655415,0.850928800640861,0.562630782650549,-1.94738680193524,2.10650472228353
"C10",0.62301395586024,-2.00765825234657,1.90305712723206,-0.495866994067287,-0.837893602173086,0.83789360217308,0.338453181852191,-1.60946830576133,2.0255116120297,-0.00474717779762924,0.508703530379321,2.71940111966371,-1.46333854464078,2.08447687418684,-2.27793848116418,-15.8295166835966,-18.6796642091179,14.48903767626,-0.0378139849417093,-0.135366975887845,0.0945158622369452,-0.187669115409592
"C11",0.764703735625626,-2.26013116813848,3.04590059081078,-1.8845042641696,-1.82550591445825,1.82550591445825,0.0126858523727773,-1.0546336378922,2.69505170862158,-0.0539914058380159,-0.580815266820355,2.64419806681895,-1.63982137896335,2.27476390594611,-2.54653412759566,-19.0158514812052,-21.7786740051023,18.0600984183129,-0.340439830541054,-0.7870650383947,-0.22420450733141,-0.539563137320114
