,trmt,Agapostemonsericeus,Agapostemonsplendens,Agapostemontexanus,Agapostemonvirescens,Andrenaalgida,Andrenaaliciae,Andrenaalleghaniensis,Andrenaandrenoides,Andrenaarabis,Andrenaasteris,Andrenabanksi,Andrenabarbara,Andrenabarbilabris,Andrenabisalicis,Andrenabradleyi,Andrenabrevipalpis,Andrenacanadensis,Andrenacarlini,Andrenacarolina,Andrenaceanothi,Andrenachromotricha,Andrenacommoda,Andrenaconfederata,Andrenacrataegi,Andrenacressonii,Andrenadistans,Andrenadunningi,Andrenaerigeniae,Andrenaerythrogaster,Andrenaerythronii,Andrenafenningeri,Andrenaforbesii,Andrenafragilis,Andrenagardineri,Andrenageranii,Andrenahelianthi,Andrenaheraclei,Andrenahilaris,Andrenahippotes,Andrenahirticincta,Andrenailicis,Andrenaillini,Andrenaillinoiensis,Andrenaimitatrix,Andrenaintegra,Andrenakrigiana,Andrenamacoupinensis,Andrenamacra,Andrenamandibularis,Andrenamariae,Andrenamendica,Andrenamilwaukeensis,Andrenamiranda,Andrenamiserabilis,Andrenamorrisonella,Andrenanasonii,Andrenaneonana,Andrenanigrae,Andrenanigrihirta,Andrenanivalis,Andrenanubecula,Andrenanuda,Andrenaperplexa,Andrenapersimulata,Andrenapersonata,Andrenaphaceliae,Andrenaplacata,Andrenaplatyparia,Andrenapolemonii,Andrenapruni,Andrenarehni,Andrenarobertsonii,Andrenarudbeckiae,Andrenarugosa,Andrenasalictaria,Andrenasigmundi,Andrenasimplex,Andrenaspiraeana,Andrenathaspii,Andrenatridens,Andrenavicina,Andrenaviolae,Andrenawilkella,Andrenawilmattae,Andrenaziziae,Andrenaziziaeformis,Anthidiellumnotatum,Anthidiummanicatum,Anthidiumoblongatum,Anthophoraabrupta,Anthophorabomboides,Anthophoraterminalis,Anthophoraursina,Anthophorawalshii,Apismellifera,Augochlorapura,Augochlorellaaurata,Augochlorellapersimilis,Augochloropsismetallica,Bombusaffinis,Bombusashtoni,Bombusauricomus,Bombusbimaculatus,Bombusborealis,Bombuscitrinus,Bombusfervidus,Bombusfraternus,Bombusgriseocollis,Bombusimpatiens,Bombuspensylvanicus,Bombusperplexus,Bombussandersoni,Bombusterricola,Bombusvagans,Bombusvariabilis,Calliopsisandreniformis,Cemolobusipomoeae,Ceratinacalcarata,Ceratinadupla,Ceratinamikmaqi,Ceratinastrenua,Chelostomaphiladelphi,Coelioxysalternatus,Coelioxysbanksi,Coelioxysgermanus,Coelioxysmodestus,Coelioxysoctodentatus,Coelioxysrufitarsis,Coelioxyssayi,Colletesaestivalis,Colletesamericanus,Colletescompactus,Colleteseulophi,Colletesinaequalis,Colleteskincaidii,Colleteslatitarsis,Colletesmandibularis,Colletesnudus,Colletessimulans,Colletesthoracicus,Colleteswillistoni,Dieunomiaheteropoda,Dufoureanovaeangliae,Epeoloidespilosulus,Epeolusautumnalis,Epeolusbifasciatus,Epeoluslectoides,Epeolusscutellaris,Euceraatriventris,Euceradubitata,Eucerahamata,Eucerarosae,Habropodalaboriosa,Halictusconfusus,Halictusligatus,Halictusparallelus,Halictusrubicundus,Heriadescarinata,Heriadesvariolosa,Holcopasitescalliopsidis,Holcopasitesillinoiensis,Hoplitispilosifrons,Hoplitisproducta,Hoplitisspoliata,Hoplitistruncata,Hylaeusaffinismodestus,Hylaeusannulatus,Hylaeusfedorica,Hylaeushyalinatus,Hylaeusillinoisensis,Hylaeusleptocephalus,Hylaeusmesillae,Hylaeusnelumbonis,Hylaeuspictipes,Hylaeussaniculae,Lasioglossumabanci,Lasioglossumadmirandum,Lasioglossumalbipenne,Lasioglossumanomalum,Lasioglossumapocyni,Lasioglossumathabascense,Lasioglossumbirkmanni,Lasioglossumbruneri,Lasioglossumcallidum,Lasioglossumcattellae,Lasioglossumcinctipes,Lasioglossumcoeruleum,Lasioglossumcoreopsis,Lasioglossumcoriaceum,Lasioglossumcressonii,Lasioglossumellisiae,Lasioglossumephialtum,Lasioglossumforbesii,Lasioglossumfoxii,Lasioglossumfuscipenne,Lasioglossumgotham,Lasioglossumheterognathus,Lasioglossumhitchensi,Lasioglossumillinoense,Lasioglossumimitatum,Lasioglossumlaevissimum,Lasioglossumleucocomus,Lasioglossumleucozonium,Lasioglossumlineatulum,Lasioglossumlionotus,Lasioglossumlustrans,Lasioglossummacoupinense,Lasioglossummichiganense,Lasioglossumnelumbonis,Lasioglossumnigroviride,Lasioglossumoblongum,Lasioglossumobscurum,Lasioglossumoceanicum,Lasioglossumparadmirandum,Lasioglossumparaforbesii,Lasioglossumpectinatum,Lasioglossumpectorale,Lasioglossumperpunctatum,Lasioglossumpilosum,Lasioglossumquebecense,Lasioglossumrozeni,Lasioglossumsmilacinae,Lasioglossumsubviridatum,Lasioglossumtegulare,Lasioglossumtruncatum,Lasioglossumversans,Lasioglossumversatum,Lasioglossumvierecki,Lasioglossumviridatum,Lasioglossumweemsi,Lasioglossumzephyrus,Lasioglossumzonulum,Macropisciliata,Megachileaddenda,Megachileapicalis,Megachilebrevis,Megachilecampanulae,Megachilecentuncularis,Megachileconcinna,Megachileexilis,Megachilefrigida,Megachilefrugalis,Megachilegemula,Megachileinimica,Megachileintegra,Megachilelatimanus,Megachilemendica,Megachilemontivaga,Megachilemucida,Megachilepetulans,Megachilepugnata,Megachilepusilla,Megachilerelativa,Megachilerotundata,Megachilerugifrons,Megachilesculpturalis,Megachiletexana,Megachilexylocopoides,Melectapacifica,Melissodesagilis,Melissodesbimaculatus,Melissodescoloradensis,Melissodesdenticulatus,Melissodesdentiventris,Melissodesdesponsus,Melissodesdruriellus,Melissodesniveus,Melissodessubillatus,Melissodestinctus,Melissodestrinodis,Melissodeswheeleri,Melitomataurea,Nomadaaffabilis,Nomadaannulata,Nomadaarticulata,Nomadaaustralis,Nomadabella,Nomadabethunei,Nomadacressonii,Nomadacuneata,Nomadadenticulata,Nomadadepressa,Nomadafervida,Nomadafragariae,Nomadahydrophylli,Nomadaillinoensis,Nomadaimbricata,Nomadalehighensis,Nomadalepida,Nomadaluteola,Nomadaluteoloides,Nomadamaculata,Nomadaobliterata,Nomadaovata,Nomadaparva,Nomadaperplexa,Nomadaplacida,Nomadapygmaea,Nomadarubicunda,Nomadasayi,Nomadasulphurata,Nomadasuperba,Nomadatiftonensis,Nomadavegana,Nomadavicina,Osmiaalbiventris,Osmiaatriventris,Osmiabucephala,Osmiacaerulescens,Osmiaconjuncta,Osmiacordata,Osmiacornifrons,Osmiadistincta,Osmiageorgica,Osmiainspergens,Osmialignaria,Osmiapumila,Osmiasimillima,Osmiasubfasciata,Osmiataurus,Osmiatexana,Paranthidiumjugatorium,Peponapispruinosa,Perditamaculigera,Perditaoctomaculata,Pseudoanthidiumnanum,Pseudopanurgusaestivalis,Pseudopanurgusandrenoides,Pseudopanurguscompositarum,Pseudopanurguslabrosus,Pseudopanurguspassiflorae,Pseudopanurgusrugosus,Ptilothrixbombiformis,Sphecodesaroniae,Sphecodesatlantis,Sphecodesbanksii,Sphecodesclematidis,Sphecodesconfertus,Sphecodescoronus,Sphecodescressonii,Sphecodesdavisii,Sphecodesdichrous,Sphecodesheraclei,Sphecodeslevis,Sphecodesmandibularis,Sphecodesminor,Sphecodespimpinellae,Sphecodesprosphorus,Sphecodesranunculi,Steliscoarctatus,Stelislateralis,Stelislouisae,Stelisnitida,Svastraobliqua,Triepeolusdonatus,Triepeoluslunatus,Triepeoluspectoralis,Triepeolusremigatus,Triepeolussimplex,Xenoglossastrenua,Xylocopavirginica
47thStGarden,Farm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BluePike,Farm,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buckeye,Farm,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10,Control,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C11,Control,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C13,Control,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C5,Control,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C6,Control,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C69,Control,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C7,Control,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
