,trmt,pland,lpi,enn
47thStGarden,Farm,35.97,1.06,6.133
BluePike,Farm,35.84,1.1,5.8704
Buckeye,Farm,45.44,2.54,5.6355
C10,T1,41.73,1.1,5.9179
C11,T1,46.19,1.16,5.4625
C13,T1,47.88,1.23,6.0156
C5,T1,39,2.36,5.4625
C6,T1,49.3,1.65,4.9172
C69,T1,38.68,1.94,6.4296
C7,T1,49.26,1.65,4.8092
C8,T1,48.07,1.5,5.4713
C9,T1,49.33,1.5,5.5483
Esperanza,Farm,38.18,1.48,6.2342
Fairfax,Farm,43.89,3.22,7.2216
LonnieBurten,Farm,34.78,3.22,6.9294
Midtown,Farm,39.18,0.5,7.1244
SlavicVillage,Farm,38.64,2.31,5.8953
BU1,T1,50.76,1.65,5.144
CE1,T1,26.34,0.63,7.5233
DS1,T1,40.73,1.42,4.7644
FA1,T1,41.33,1.71,7.1896
GL1,T1,46.37,1.24,5.5467
HO1,T1,43.39,0.58,6.7432
SV1,T1,40.33,2.29,5.9748
TR1,T1,30.15,1.81,7.8281
BU8,T8,47.9939,1.6529,5.1078
CE8,T8,26.6432,0.6349,7.467
DS8,T8,39.4449,0.8925,5.6614
FA8,T8,43.8432,3.2229,7.3093
GL8,T8,44.7389,3.925,5.7006
HO8,T8,48.7262,0.9298,5.7512
SV8,T8,30.2299,1.1245,7.278
TR8,T8,40.9278,1.0992,5.9077
