"","bl","lec","nest","soc","ori"
"Agapostemonsericeus",2.39789527279837,1,1,1,0
"Agapostemontexanus",2.42036812865043,1,1,1,0
"Agapostemonvirescens",2.4423470353692,1,1,1,0
"Andrenaalleghaniensis",2.32727770558442,1,1,2,0
"Andrenaasteris",2.52572864430826,2,1,2,0
"Andrenabarbilabris",2.37490575457367,1,1,2,0
"Andrenacommoda",2.46385324059017,1,1,2,0
"Andrenacressonii",2.20717490818939,1,1,2,0
"Andrenadunningi",2.46385324059017,1,1,2,0
"Andrenaerigeniae",2.16905370036952,2,1,2,0
"Andrenahirticincta",2.45787797740008,2,1,2,0
"Andrenamiserabilis",2.11021320034659,1,1,2,0
"Andrenanasonii",2.14006616349627,1,1,2,0
"Andrenaperplexa",2.60268968544438,1,1,2,0
"Andrenavicina",2.54553127160444,1,1,2,0
"Andrenaviolae",2.32727770558442,2,1,2,0
"Andrenawilkella",2.4423470353692,1,1,2,1
"Andrenaziziae",1.98100146886658,2,1,2,0
"Anthidiummanicatum",2.69124308278583,1,2,2,1
"Anthidiumoblongatum",2.26176309847379,1,2,2,1
"Anthophoraterminalis",2.54553127160444,1,5,2,0
"Apismellifera",2.59151638484626,1,3,3,1
"Augochlorapura",2.19722457733622,1,5,2,0
"Augochlorellaaurata",1.83258146374831,1,1,3,0
"Bombusbimaculatus",2.86220088092947,1,3,3,0
"Bombuscitrinus",3.04452243772342,0,3,4,0
"Bombusfervidus",2.87638551592142,1,3,3,0
"Bombusgriseocollis",2.87638551592142,1,3,3,0
"Bombusimpatiens",2.87638551592142,1,3,3,0
"Bombuspensylvanicus",3.04452243772342,1,3,3,0
"Bombusperplexus",2.81839825827108,1,3,3,0
"Bombusvagans",2.81839825827108,1,3,3,0
"Calliopsisandreniformis",2.03470564783844,1,1,2,0
"Ceratinacalcarata",2.03208784529637,1,4,1,0
"Ceratinamikmaqi",2.01490302054226,1,4,1,0
"Ceratinastrenua",1.83258146374831,1,4,1,0
"Chelostomaphiladelphi",2.11021320034659,2,2,2,0
"Coelioxysalternatus",2.56494935746154,0,2,4,0
"Coelioxyssayi",2.40964416528745,0,2,4,0
"Colletescompactus",2.46385324059017,2,1,2,0
"Colleteslatitarsis",2.37490575457367,2,1,2,0
"Colletesthoracicus",2.58399755243223,1,1,2,0
"Halictusconfusus",2.07944154167984,1,1,1,0
"Halictusligatus",2.2512917986065,1,1,3,0
"Halictusrubicundus",2.4423470353692,1,1,1,0
"Heriadescarinata",1.98375629154543,1,2,2,0
"Holcopasitescalliopsidis",1.87180217690159,0,1,4,0
"Hoplitisproducta",2.11021320034659,1,4,2,0
"Hylaeusaffinismodestus",1.90061387414014,1,2,2,0
"Hylaeusannulatus",1.90954250488444,1,2,2,0
"Hylaeusfedorica",1.63413052502447,1,2,2,0
"Hylaeushyalinatus",1.93007108502557,1,2,2,1
"Hylaeusleptocephalus",1.83258146374831,1,2,2,1
"Hylaeusmesillae",1.58412010444981,1,2,2,0
"Hylaeuspictipes",1.67709656090792,1,2,2,1
"Lasioglossumadmirandum",1.83258146374831,1,1,3,0
"Lasioglossumanomalum",1.6094379124341,1,1,NA,0
"Lasioglossumapocyni",1.79175946922805,1,1,3,0
"Lasioglossumbirkmanni",1.82454929205105,1,1,2,0
"Lasioglossumbruneri",2.01490302054226,1,1,3,0
"Lasioglossumcattellae",1.76900248210544,1,1,3,0
"Lasioglossumcinctipes",2.19722457733622,1,1,3,0
"Lasioglossumcoeruleum",2.07944154167984,1,5,3,0
"Lasioglossumcoriaceum",2.22462355152433,1,1,1,0
"Lasioglossumcressonii",1.98100146886658,1,5,3,0
"Lasioglossumellisiae",1.7263316639056,1,1,NA,0
"Lasioglossumephialtum",1.85629799036563,1,1,NA,0
"Lasioglossumfoxii",1.94591014905531,1,1,2,0
"Lasioglossumfuscipenne",2.2512917986065,1,1,1,0
"Lasioglossumhitchensi",1.75267208052001,1,1,3,0
"Lasioglossumillinoense",1.74919985480926,1,1,3,0
"Lasioglossumimitatum",1.65345479785087,1,1,3,0
"Lasioglossumlaevissimum",1.94591014905531,1,1,3,0
"Lasioglossumleucocomus",1.80170980008122,1,1,3,0
"Lasioglossumleucozonium",2.16905370036952,1,1,1,0
"Lasioglossumlineatulum",1.94591014905531,1,1,3,0
"Lasioglossumlionotus",1.58412010444981,1,1,4,0
"Lasioglossummacoupinense",1.87180217690159,1,1,2,0
"Lasioglossummichiganense",1.8961194845523,1,1,4,0
"Lasioglossumpectorale",1.87180217690159,1,1,2,0
"Lasioglossumpilosum",1.94591014905531,1,1,3,0
"Lasioglossumsmilacinae",2.02814824729229,1,1,NA,0
"Lasioglossumsubviridatum",1.91839212016142,1,5,3,0
"Lasioglossumtegulare",1.79175946922805,1,1,NA,0
"Lasioglossumversatum",1.92861865194525,1,1,3,0
"Lasioglossumweemsi",1.71739505393919,1,1,3,0
"Lasioglossumzephyrus",1.96571277635149,1,1,3,0
"Lasioglossumzonulum",2.14006616349627,1,1,NA,0
"Megachileaddenda",2.56494935746154,1,1,2,0
"Megachileapicalis",2.14006616349627,1,2,2,1
"Megachilebrevis",2.32727770558442,1,2,2,0
"Megachilecampanulae",2.35137525716348,1,2,2,0
"Megachilecentuncularis",2.35137525716348,1,2,2,1
"Megachilefrigida",2.65675690671466,1,2,2,0
"Megachilelatimanus",2.63905732961526,1,1,2,0
"Megachilemendica",2.4423470353692,1,2,2,0
"Megachilemontivaga",2.484906649788,1,2,2,0
"Megachilemucida",2.60268968544438,1,1,2,0
"Megachilepugnata",2.67414864942653,2,2,2,0
"Megachilepusilla",2.07944154167984,1,2,2,1
"Megachilerelativa",2.37490575457367,1,2,2,0
"Megachilerotundata",2.19722457733622,1,2,2,1
"Megachilesculpturalis",3.10234200861225,1,2,2,1
"Megachiletexana",2.54553127160444,1,2,2,0
"Melissodesagilis",2.5360749363624,2,1,2,0
"Melissodesbimaculatus",2.63905732961526,1,1,2,0
"Melissodesdenticulatus",2.40964416528745,2,1,2,0
"Melissodesdruriellus",2.35137525716348,2,1,2,0
"Melissodessubillatus",2.46385324059017,2,1,2,0
"Melissodestrinodis",2.46385324059017,2,1,2,0
"Nomadaarticulata",2.27726728500976,0,1,4,0
