"","BodyLength","Lecty","Nesting","Sociality","Origin"
"Agapostemonsericeus",10,1,1,1,0
"Agapostemontexanus",10.25,1,1,1,0
"Agapostemonvirescens",10.5,1,1,1,0
"Andrenaalleghaniensis",9.25,1,1,2,0
"Andrenaasteris",11.5,2,1,2,0
"Andrenabarbilabris",9.75,1,1,2,0
"Andrenacommoda",10.75,1,1,2,0
"Andrenacressonii",8.09,1,1,2,0
"Andrenadunningi",10.75,1,1,2,0
"Andrenaerigeniae",7.75,2,1,2,0
"Andrenahirticincta",10.68,2,1,2,0
"Andrenamiserabilis",7.25,1,1,2,0
"Andrenanasonii",7.5,1,1,2,0
"Andrenaperplexa",12.5,1,1,2,0
"Andrenavicina",11.75,1,1,2,0
"Andrenaviolae",9.25,2,1,2,0
"Andrenawilkella",10.5,1,1,2,1
"Andrenaziziae",6.25,2,1,2,0
"Anthidiummanicatum",13.75,1,2,2,1
"Anthidiumoblongatum",8.6,1,2,2,1
"Anthophoraterminalis",11.75,1,5,2,0
"Apismellifera",12.35,1,3,3,1
"Augochlorapura",8,1,5,2,0
"Augochlorellaaurata",5.25,1,1,3,0
"Bombusbimaculatus",16.5,1,3,3,0
"Bombuscitrinus",20,0,3,4,0
"Bombusfervidus",16.75,1,3,3,0
"Bombusgriseocollis",16.75,1,3,3,0
"Bombusimpatiens",16.75,1,3,3,0
"Bombuspensylvanicus",20,1,3,3,0
"Bombusperplexus",15.75,1,3,3,0
"Bombusvagans",15.75,1,3,3,0
"Calliopsisandreniformis",6.65,1,1,2,0
"Ceratinacalcarata",6.63,1,4,1,0
"Ceratinamikmaqi",6.5,1,4,1,0
"Ceratinastrenua",5.25,1,4,1,0
"Chelostomaphiladelphi",7.25,2,2,2,0
"Coelioxysalternatus",12,0,2,4,0
"Coelioxyssayi",10.13,0,2,4,0
"Colletescompactus",10.75,2,1,2,0
"Colleteslatitarsis",9.75,2,1,2,0
"Colletesthoracicus",12.25,1,1,2,0
"Halictusconfusus",7,1,1,1,0
"Halictusligatus",8.5,1,1,3,0
"Halictusrubicundus",10.5,1,1,1,0
"Heriadescarinata",6.27,1,2,2,0
"Holcopasitescalliopsidis",5.5,0,1,4,0
"Hoplitisproducta",7.25,1,4,2,0
"Hylaeusaffinismodestus",5.69,1,2,2,0
"Hylaeusannulatus",5.75,1,2,2,0
"Hylaeusfedorica",4.125,1,2,2,0
"Hylaeushyalinatus",5.89,1,2,2,1
"Hylaeusleptocephalus",5.25,1,2,2,1
"Hylaeusmesillae",3.875,1,2,2,0
"Hylaeuspictipes",4.35,1,2,2,1
"Lasioglossumadmirandum",5.25,1,1,3,0
"Lasioglossumanomalum",4,1,1,NA,0
"Lasioglossumapocyni",5,1,1,3,0
"Lasioglossumbirkmanni",5.2,1,1,2,0
"Lasioglossumbruneri",6.5,1,1,3,0
"Lasioglossumcattellae",4.865,1,1,3,0
"Lasioglossumcinctipes",8,1,1,3,0
"Lasioglossumcoeruleum",7,1,5,3,0
"Lasioglossumcoriaceum",8.25,1,1,1,0
"Lasioglossumcressonii",6.25,1,5,3,0
"Lasioglossumellisiae",4.62,1,1,NA,0
"Lasioglossumephialtum",5.4,1,1,NA,0
"Lasioglossumfoxii",6,1,1,2,0
"Lasioglossumfuscipenne",8.5,1,1,1,0
"Lasioglossumhitchensi",4.77,1,1,3,0
"Lasioglossumillinoense",4.75,1,1,3,0
"Lasioglossumimitatum",4.225,1,1,3,0
"Lasioglossumlaevissimum",6,1,1,3,0
"Lasioglossumleucocomus",5.06,1,1,3,0
"Lasioglossumleucozonium",7.75,1,1,1,0
"Lasioglossumlineatulum",6,1,1,3,0
"Lasioglossumlionotus",3.875,1,1,4,0
"Lasioglossummacoupinense",5.5,1,1,2,0
"Lasioglossummichiganense",5.66,1,1,4,0
"Lasioglossumpectorale",5.5,1,1,2,0
"Lasioglossumpilosum",6,1,1,3,0
"Lasioglossumsmilacinae",6.6,1,1,NA,0
"Lasioglossumsubviridatum",5.81,1,5,3,0
"Lasioglossumtegulare",5,1,1,NA,0
"Lasioglossumversatum",5.88,1,1,3,0
"Lasioglossumweemsi",4.57,1,1,3,0
"Lasioglossumzephyrus",6.14,1,1,3,0
"Lasioglossumzonulum",7.5,1,1,NA,0
"Megachileaddenda",12,1,1,2,0
"Megachileapicalis",7.5,1,2,2,1
"Megachilebrevis",9.25,1,2,2,0
"Megachilecampanulae",9.5,1,2,2,0
"Megachilecentuncularis",9.5,1,2,2,1
"Megachileconcinna",8,1,2,2,1
"Megachilefrigida",13.25,1,2,2,0
"Megachilelatimanus",13,1,1,2,0
"Megachilemendica",10.5,1,2,2,0
"Megachilemontivaga",11,1,2,2,0
"Megachilemucida",12.5,1,1,2,0
"Megachilepugnata",13.5,2,2,2,0
"Megachilerelativa",9.75,1,2,2,0
"Megachilerotundata",8,1,2,2,1
"Megachilesculpturalis",21.25,1,2,2,1
"Megachiletexana",11.75,1,2,2,0
"Melissodesagilis",11.63,2,1,2,0
"Melissodesbimaculatus",13,1,1,2,0
"Melissodesdenticulatus",10.13,2,1,2,0
"Melissodesdruriellus",9.5,2,1,2,0
"Melissodessubillatus",10.75,2,1,2,0
"Melissodestrinodis",10.75,2,1,2,0
"Nomadaarticulata",8.75,0,1,4,0
"Nomadacressonii",8.5,0,1,4,0
"Nomadadenticulata",7.75,0,1,4,0
"Nomadafragariae",9.75,0,1,4,0
"Nomadaimbricata",9.5,0,1,4,0
"Nomadaluteoloides",8.3,0,1,4,0
"Nomadamaculata",9.5,0,1,4,0
"Nomadapygmaea",7.38,0,1,4,0
"Osmiaatriventris",7.75,1,2,2,0
"Osmiabucephala",14.5,1,2,2,0
"Osmiacaerulescens",9.75,1,2,2,1
"Osmiageorgica",8.25,1,2,2,0
"Osmiapumila",7.75,1,2,2,0
"Osmiasubfasciata",7.5,1,2,2,0
"Osmiataurus",11.1,1,2,2,1
"Peponapispruinosa",12.63,2,1,2,0
"Pseudoanthidiumnanum",7.5,1,2,2,1
"Sphecodesatlantis",5.6,0,1,4,0
"Sphecodescoronus",5,0,1,4,0
"Sphecodescressonii",5.25,0,1,4,0
"Sphecodesmandibularis",6.95,0,1,4,0
"Sphecodesminor",6.8,0,1,4,0
"Stelislouisae",8,1,2,4,0
"Triepeoluslunatus",11,0,1,4,0
"Triepeolusremigatus",14,0,1,4,0
"Xylocopavirginica",20,1,5,1,0
