"","Agapostemonsericeus","Agapostemontexanus","Agapostemonvirescens","Andrenaalleghaniensis","Andrenaasteris","Andrenabarbilabris","Andrenacommoda","Andrenacressonii","Andrenadunningi","Andrenaerigeniae","Andrenahirticincta","Andrenamiserabilis","Andrenanasonii","Andrenaperplexa","Andrenavicina","Andrenaviolae","Andrenawilkella","Andrenaziziae","Anthidiummanicatum","Anthidiumoblongatum","Anthophoraterminalis","Apismellifera","Augochlorapura","Augochlorellaaurata","Bombusbimaculatus","Bombusfervidus","Bombusgriseocollis","Bombusimpatiens","Bombusperplexus","Bombusvagans","Calliopsisandreniformis","Ceratinacalcarata","Ceratinamikmaqi","Ceratinastrenua","Chelostomaphiladelphi","Coelioxysalternatus","Coelioxyssayi","Colletescompactus","Colleteslatitarsis","Colletesthoracicus","Halictusconfusus","Halictusligatus","Halictusrubicundus","Heriadescarinata","Holcopasitescalliopsidis","Hoplitisproducta","Hylaeusaffinismodestus","Hylaeusannulatus","Hylaeusfedorica","Hylaeushyalinatus","Hylaeusleptocephalus","Hylaeusmesillae","Hylaeuspictipes","Lasioglossumadmirandum","Lasioglossumanomalum","Lasioglossumapocyni","Lasioglossumbirkmanni","Lasioglossumbruneri","Lasioglossumcattellae","Lasioglossumcinctipes","Lasioglossumcoeruleum","Lasioglossumcoriaceum","Lasioglossumcressonii","Lasioglossumellisiae","Lasioglossumephialtum","Lasioglossumfoxii","Lasioglossumfuscipenne","Lasioglossumhitchensi","Lasioglossumillinoense","Lasioglossumimitatum","Lasioglossumlaevissimum","Lasioglossumleucocomus","Lasioglossumleucozonium","Lasioglossumlineatulum","Lasioglossumlionotus","Lasioglossummacoupinense","Lasioglossummichiganense","Lasioglossumpectorale","Lasioglossumpilosum","Lasioglossumsmilacinae","Lasioglossumsubviridatum","Lasioglossumtegulare","Lasioglossumversatum","Lasioglossumweemsi","Lasioglossumzephyrus","Lasioglossumzonulum","Megachileaddenda","Megachileapicalis","Megachilebrevis","Megachilecampanulae","Megachilecentuncularis","Megachileconcinna","Megachilefrigida","Megachilelatimanus","Megachilemendica","Megachilemontivaga","Megachilemucida","Megachilepugnata","Megachilerelativa","Megachilerotundata","Megachilesculpturalis","Megachiletexana","Melissodesagilis","Melissodesbimaculatus","Melissodesdenticulatus","Melissodesdruriellus","Melissodessubillatus","Melissodestrinodis","Nomadaarticulata","Nomadacressonii","Nomadadenticulata","Nomadafragariae","Nomadaimbricata","Nomadaluteoloides","Nomadamaculata","Nomadapygmaea","Osmiaatriventris","Osmiabucephala","Osmiacaerulescens","Osmiageorgica","Osmiapumila","Osmiasubfasciata","Osmiataurus","Peponapispruinosa","Pseudoanthidiumnanum","Sphecodesatlantis","Sphecodescoronus","Sphecodescressonii","Sphecodesmandibularis","Sphecodesminor","Stelislouisae","Triepeoluslunatus","Triepeolusremigatus","Xylocopavirginica","trmt"
"BU1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"T1"
"CE1",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T1"
"DS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T1"
"FA1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T1"
"GL1",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"T1"
"HO1",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"T1"
"SV1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"T1"
"TR1",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"T1"
"BU6",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Prairie"
"CE6",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie"
