"","Agapostemonsericeus","Agapostemontexanus","Agapostemonvirescens","Andrenaalleghaniensis","Andrenaasteris","Andrenabarbilabris","Andrenacommoda","Andrenacressonii","Andrenadunningi","Andrenaerigeniae","Andrenahirticincta","Andrenamiserabilis","Andrenanasonii","Andrenaperplexa","Andrenavicina","Andrenaviolae","Andrenawilkella","Andrenaziziae","Anthidiummanicatum","Anthidiumoblongatum","Anthophoraterminalis","Apismellifera","Augochlorapura","Augochlorellaaurata","Bombusbimaculatus","Bombuscitrinus","Bombusfervidus","Bombusgriseocollis","Bombusimpatiens","Bombuspensylvanicus","Bombusperplexus","Bombusvagans","Calliopsisandreniformis","Ceratinacalcarata","Ceratinamikmaqi","Ceratinastrenua","Chelostomaphiladelphi","Coelioxysalternatus","Coelioxyssayi","Colletescompactus","Colleteslatitarsis","Colletesthoracicus","Halictusconfusus","Halictusligatus","Halictusrubicundus","Heriadescarinata","Holcopasitescalliopsidis","Hoplitisproducta","Hylaeusaffinismodestus","Hylaeusannulatus","Hylaeusfedorica","Hylaeushyalinatus","Hylaeusleptocephalus","Hylaeusmesillae","Hylaeuspictipes","Lasioglossumadmirandum","Lasioglossumanomalum","Lasioglossumapocyni","Lasioglossumbirkmanni","Lasioglossumbruneri","Lasioglossumcattellae","Lasioglossumcinctipes","Lasioglossumcoeruleum","Lasioglossumcoriaceum","Lasioglossumcressonii","Lasioglossumellisiae","Lasioglossumephialtum","Lasioglossumfoxii","Lasioglossumfuscipenne","Lasioglossumhitchensi","Lasioglossumillinoense","Lasioglossumimitatum","Lasioglossumlaevissimum","Lasioglossumleucocomus","Lasioglossumleucozonium","Lasioglossumlineatulum","Lasioglossumlionotus","Lasioglossummacoupinense","Lasioglossummichiganense","Lasioglossumpectorale","Lasioglossumpilosum","Lasioglossumsmilacinae","Lasioglossumsubviridatum","Lasioglossumtegulare","Lasioglossumversatum","Lasioglossumweemsi","Lasioglossumzephyrus","Lasioglossumzonulum","Megachileaddenda","Megachileapicalis","Megachilebrevis","Megachilecampanulae","Megachilecentuncularis","Megachilefrigida","Megachilelatimanus","Megachilemendica","Megachilemontivaga","Megachilemucida","Megachilepugnata","Megachilepusilla","Megachilerelativa","Megachilerotundata","Megachilesculpturalis","Megachiletexana","Melissodesagilis","Melissodesbimaculatus","Melissodesdenticulatus","Melissodesdruriellus","Melissodessubillatus","Melissodestrinodis","Nomadaarticulata","Nomadacressonii","Nomadadenticulata","Nomadafragariae","Nomadaimbricata","Nomadaluteoloides","Nomadamaculata","Nomadapygmaea","Osmiaatriventris","Osmiabucephala","Osmiacaerulescens","Osmiageorgica","Osmiapumila","Osmiasubfasciata","Osmiataurus","Peponapispruinosa","Pseudoanthidiumnanum","Sphecodesatlantis","Sphecodescoronus","Sphecodescressonii","Sphecodesmandibularis","Sphecodesminor","Stelislouisae","Triepeoluslunatus","Triepeolusremigatus","Xylocopavirginica","trmt"
"T1-C",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VL"
"T1-DS",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VL"
"T1-F",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"VL"
"T1-G",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"VL"
"T1-SV",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VL"
"T1-TM",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VL"
"T6-SV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"UP"
"T6-TM",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"UP"
"T7-H",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UP"
"T7-SV",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UP"
